Vehicle Make;Vehicle Model;Vehicle Description;Vehicle Price including VAT;Vehicle Kind;Vehicle CO2;Fuel Type;Maximum Weight
VO;S90200H04A8DZ6L;VOLVO S90           D5 AWD Business Inscription aut         ;5.48E+11;V;127;D;2360
VO;S90200K04A8DZ6L;VOLVO S90           D5 AWD Business R-Design aut            ;5.48E+11;V;127;D;2360
VO;S90200M04A8DZ6L;VOLVO S90           D5 AWD Inscription aut                  ;5.48E+11;V;127;D;2360
VO;S90200Q04A8DZ6L;VOLVO S90           D5 AWD Momentum aut                     ;4.75E+11;V;127;D;2360
VO;S90200U04A8DZ6L;VOLVO S90           D5 AWD R-Design aut                     ;5.48E+11;V;127;D;2360
ME;SPR300204M6DV7F;MERCEDES-BENZ SPRINT319CDI 4x4-3,5/43K pitk� A3             ;6.66E+11;U;268;D;3500
ME;SPR300204A5DV7F;MERCEDES-BENZ SPRINT319CDI 4x4-3,5/43K pitk� A3 A           ;6.82E+11;U;257;D;3500
ME;VIT210304A7DM7F;MERCEDES-BENZ VITO  114CDI-3,05/32KB keskipitk� A2 A        ;4.49E+11;V;158;D;3100
ME;VIT210104M6DM7F;MERCEDES-BENZ VITO  114CDI-3,05/32KB normaali A1            ;4.1E+11;V;164;D;3100
ME;VIT210E04A7DM7F;MERCEDES-BENZ VITO  119CDI 4x4-3,05/34KBpitk� A3 A          ;5.64E+11;V;174;D;3100
ME;VIT210N04A7DV7F;MERCEDES-BENZ VITO  119CDI 4x4-3,2/32K keskipitk� A2 A      ;5.075E+11;U;174;D;3200
ME;VIT210O04A7DV7F;MERCEDES-BENZ VITO  119CDI 4x4-3,2/34K pitk� A3 A           ;5.195E+11;U;177;D;3200
ME;SPR210102M6DV7F;MERCEDES-BENZ SPRINT316CDI 4x4-3,5/43AL pitk� A3            ;6.095E+11;U;216;D;3500
ME;SPR210102A5DV7F;MERCEDES-BENZ SPRINT316CDI 4x4-3,5/43AL pitk� A3 A          ;6.255E+11;U;238;D;3500
ME;SPR210204M6DV7F;MERCEDES-BENZ SPRINT316CDI 4x4-3,5/43K extrapitk� A4        ;6.47E+11;U;216;D;3500
VO;S90200404A8BZ6L;VOLVO S90           T5 Business Inscription aut             ;4.93E+11;V;149;B;2260
VO;S90200704A8BZ6L;VOLVO S90           T5 Business R-Designaut                 ;4.93E+11;V;149;B;2260
VO;S90200C04A8BZ6L;VOLVO S90           T6 AWD Business aut                     ;5.17E+11;V;165;B;2360
VO;S90200D04A8BZ6L;VOLVO S90           T6 AWD Business Inscription aut         ;5.9E+11;V;165;B;2360
VO;S90200G04A8BZ6L;VOLVO S90           T6 AWD Business R-Design aut            ;5.9E+11;V;165;B;2360
VO;S90200I04A8BZ6L;VOLVO S90           T6 AWD Inscription aut                  ;5.9E+11;V;165;B;2360
VO;S90200K04A8BZ6L;VOLVO S90           T6 AWD Momentum aut                     ;5.17E+11;V;165;B;2360
VO;S90200M04A8BZ6L;VOLVO S90           T6 AWD R-Design aut                     ;5.9E+11;V;165;B;2360
ME;SPR300104M6DM7F;MERCEDES-BENZ SPRINT319CDI-3,5/37 KB keskipitk� A2          ;5.585E+11;V;240;D;3500
ME;SPR300004A7DM7F;MERCEDES-BENZ SPRINT319CDI-3,5/37 KB keskipitk� A2 A        ;5.835E+11;V;215;D;3500
ME;VIT210404A7DM7F;MERCEDES-BENZ VITO  114CDI-3,05/32KB normaali A1 A          ;4.36E+11;V;158;D;3100
ME;VIT210204M6DV7F;MERCEDES-BENZ VITO  114CDI-3,05/34K pitk� A3                ;3.825E+11;U;164;D;3050
ME;SPR210502M6DV7F;MERCEDES-BENZ SPRINT211CDI-3,2/37AL keskipitk� A2           ;3.555E+11;U;214;D;3190
ME;SPR210302A7DV7F;MERCEDES-BENZ SPRINT211CDI-3,2/37AL keskipitk� A2 A         ;3.805E+11;U;203;D;3190
ME;SPR210804M6DV7F;MERCEDES-BENZ SPRINT214CDI-3,0/32K normaali A1              ;3.775E+11;U;204;D;3000
ME;SPR210104A5DV7F;MERCEDES-BENZ SPRINT316CDI 4x4-3,5/43K extrapitk� A4 A      ;6.63E+11;U;238;D;3500
ME;SPR210304M6DV7F;MERCEDES-BENZ SPRINT316CDI 4x4-3,5/43K pitk� A3             ;6.365E+11;U;216;D;3500
ME;SPR210204A5DV7F;MERCEDES-BENZ SPRINT316CDI 4x4-3,5/43K pitk� A3 A           ;6.525E+11;U;238;D;3500
ME;SPR300304M6DV7F;MERCEDES-BENZ SPRINT319CDI-3,5/37K keskipitk� A2            ;4.78E+11;U;253;D;3500
ME;SPR300004A7DV7F;MERCEDES-BENZ SPRINT319CDI-3,5/37K keskipitk� A2 A          ;5.03E+11;U;228;D;3500
